Rank,Title,Author,Ratings,Price,No_of_Reviews,Cover_Type,Year_of_List,Genre
4,StrengthsFinder 2.0,Gallup,4.1,18.29,7082,Hardcover,2011,Non-Fiction
5,The Hunger Games (Book 1),Suzanne Collins,4.7,11.69,42770,Paperback,2011,Fiction
6,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,14.54,33629,Hardcover,2011,Non-Fiction
7,Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.7,15,9010,Hardcover,2011,Fiction
8,Go the F**k to Sleep,Adam Mansbach,4.8,14.35,20243,Hardcover,2011,Fiction
9,Mockingjay (The Hunger Games),Suzanne Collins,4.6,9.08,37034,Hardcover,2011,Fiction
10,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,54.98,6354,Mass Market Paperback,2011,Fiction
11,Catching Fire (The Hunger Games),Suzanne Collins,4.7,9.49,32459,Hardcover,2011,Fiction
12,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,16.97,3104,Hardcover,2011,Non-Fiction
13,A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.5,24.31,17252,Hardcover,2011,Fiction
14,"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,9.99,11657,Hardcover,2011,Fiction
15,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9.99,10849,Hardcover,2011,Non-Fiction
16,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,24.29,12674,Paperback,2011,Non-Fiction
17,The Help,Kathryn Stockett,4.8,9.98,18068,Paperback,2011,Fiction
18,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,12.1,16936,Paperback,2011,Non-Fiction
19,11/22/63: A Novel,Stephen King,4.7,16.43,3115,Hardcover,2011,Fiction
20,The Official SAT Study Guide,The College Board,4.4,41,1526,Paperback,2011,Non-Fiction
21,"Jesus Calling, Padded Hardcover, with Scripture references",Sarah Young,4.9,7.53,31196,Hardcover,2011,Non-Fiction
22,The Hunger Games Trilogy Boxed Set,Suzanne Collins,4.8,59.9,27185,Hardcover,2011,Fiction
23,Cutting for Stone,Abraham Verghese,4.6,12,6790,Paperback,2011,Fiction
24,Tina Fey: Bossypants,Tina Fey,4.3,10.28,8169,Hardcover,2011,Non-Fiction
25,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.4,15.96,6580,Hardcover,2011,Non-Fiction
26,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.5,14.49,7589,Hardcover,2011,Non-Fiction
27,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,23.99,7012,Paperback,2011,Non-Fiction
28,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,16.48,1920,Paperback,2011,Non-Fiction
29,A Stolen Life: A Memoir,Jaycee Dugard,4.7,18.19,6155,Hardcover,2011,Non-Fiction
30,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,11.93,11051,Hardcover,2011,Fiction
31,Water for Elephants: A Novel,Sara Gruen,4.5,11.28,4923,Paperback,2011,Fiction
32,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,4.6,20.72,6296,Hardcover,2011,Non-Fiction
33,The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.5,12.8,9887,Hardcover,2011,Non-Fiction
34,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,17.12,4514,Hardcover,2011,Non-Fiction
35,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,19.99,1676,Paperback,2011,Non-Fiction
36,"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.8,13.91,3821,Hardcover,2011,Fiction
37,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.5,9.99,3567,Hardcover,2011,Fiction
38,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,16.5,5803,Hardcover,2011,Non-Fiction
39,The Litigators,John Grisham,4.5,19,11507,Hardcover,2011,Fiction
